,Date,AQI,Sample_Duration,Pollutant_Type
151,1986-03-03,36,24 HOUR,81102
152,1986-03-05,57,24 HOUR,81102
153,1986-03-07,48,24 HOUR,81102
154,1986-03-11,91,24 HOUR,81102
155,1986-03-15,14,24 HOUR,81102
156,1986-03-19,19,24 HOUR,81102
157,1986-03-21,21,24 HOUR,81102
158,1986-03-23,17,24 HOUR,81102
159,1986-03-25,30,24 HOUR,81102
160,1986-03-27,23,24 HOUR,81102
161,1986-03-29,24,24 HOUR,81102
162,1986-03-31,25,24 HOUR,81102
163,1986-04-02,33,24 HOUR,81102
164,1986-04-04,31,24 HOUR,81102
165,1986-04-06,36,24 HOUR,81102
166,1986-04-08,44,24 HOUR,81102
167,1986-04-10,22,24 HOUR,81102
168,1986-04-12,53,24 HOUR,81102
169,1986-04-14,53,24 HOUR,81102
170,1986-04-16,39,24 HOUR,81102
171,1986-04-18,27,24 HOUR,81102
172,1986-04-20,13,24 HOUR,81102
173,1986-04-22,34,24 HOUR,81102
174,1986-04-24,25,24 HOUR,81102
175,1986-04-26,29,24 HOUR,81102
176,1986-04-28,26,24 HOUR,81102
177,1986-04-30,19,24 HOUR,81102
178,1986-05-02,16,24 HOUR,81102
179,1986-05-06,28,24 HOUR,81102
180,1986-05-10,23,24 HOUR,81102
181,1986-05-14,71,24 HOUR,81102
182,1986-05-18,15,24 HOUR,81102
183,1986-05-20,25,24 HOUR,81102
184,1986-05-22,40,24 HOUR,81102
185,1986-05-24,50,24 HOUR,81102
186,1986-05-26,8,24 HOUR,81102
187,1986-05-28,18,24 HOUR,81102
188,1986-05-30,11,24 HOUR,81102
189,1986-06-01,13,24 HOUR,81102
190,1986-06-03,10,24 HOUR,81102
191,1986-06-05,23,24 HOUR,81102
192,1986-06-07,17,24 HOUR,81102
193,1986-06-09,17,24 HOUR,81102
194,1986-06-11,60,24 HOUR,81102
195,1986-06-13,15,24 HOUR,81102
196,1986-06-15,15,24 HOUR,81102
197,1986-06-17,14,24 HOUR,81102
198,1986-06-19,15,24 HOUR,81102
199,1986-06-21,7,24 HOUR,81102
200,1986-06-23,8,24 HOUR,81102
201,1986-07-01,36,24 HOUR,81102
202,1986-07-05,28,24 HOUR,81102
203,1986-07-09,64,24 HOUR,81102
204,1986-07-11,31,24 HOUR,81102
205,1986-07-13,30,24 HOUR,81102
206,1986-07-15,35,24 HOUR,81102
207,1986-07-17,23,24 HOUR,81102
208,1986-07-19,21,24 HOUR,81102
209,1986-07-21,20,24 HOUR,81102
210,1986-07-23,16,24 HOUR,81102
211,1986-07-25,20,24 HOUR,81102
212,1986-07-27,35,24 HOUR,81102
213,1986-07-29,35,24 HOUR,81102
214,1986-07-31,25,24 HOUR,81102
215,1986-08-02,25,24 HOUR,81102
216,1986-08-04,19,24 HOUR,81102
217,1986-08-06,20,24 HOUR,81102
218,1986-08-08,23,24 HOUR,81102
219,1986-08-10,14,24 HOUR,81102
220,1986-08-12,17,24 HOUR,81102
221,1986-08-14,17,24 HOUR,81102
222,1986-08-16,19,24 HOUR,81102
223,1986-08-18,48,24 HOUR,81102
224,1986-08-20,32,24 HOUR,81102
225,1986-08-22,15,24 HOUR,81102
226,1986-08-24,16,24 HOUR,81102
227,1986-08-26,11,24 HOUR,81102
228,1986-08-28,14,24 HOUR,81102
229,1986-08-30,6,24 HOUR,81102
230,1986-09-01,8,24 HOUR,81102
231,1986-09-03,10,24 HOUR,81102
232,1986-09-05,9,24 HOUR,81102
233,1986-09-07,11,24 HOUR,81102
234,1986-09-09,10,24 HOUR,81102
235,1986-09-11,13,24 HOUR,81102
236,1986-09-15,23,24 HOUR,81102
237,1986-09-17,21,24 HOUR,81102
238,1986-09-19,13,24 HOUR,81102
239,1986-09-23,33,24 HOUR,81102
240,1986-09-29,16,24 HOUR,81102
241,1986-10-01,14,24 HOUR,81102
242,1986-10-29,19,24 HOUR,81102
243,1986-10-31,14,24 HOUR,81102
244,1986-11-02,22,24 HOUR,81102
245,1986-11-04,9,24 HOUR,81102
246,1986-11-06,7,24 HOUR,81102
247,1986-11-08,13,24 HOUR,81102
248,1986-11-10,16,24 HOUR,81102
249,1986-11-12,16,24 HOUR,81102
250,1986-11-14,12,24 HOUR,81102
251,1986-11-16,12,24 HOUR,81102
252,1986-11-18,18,24 HOUR,81102
253,1986-11-20,13,24 HOUR,81102
254,1986-11-22,14,24 HOUR,81102
255,1986-11-24,17,24 HOUR,81102
256,1986-11-26,15,24 HOUR,81102
257,1986-11-28,15,24 HOUR,81102
258,1986-11-30,16,24 HOUR,81102
259,1986-12-02,15,24 HOUR,81102
260,1986-12-04,17,24 HOUR,81102
261,1986-12-06,8,24 HOUR,81102
262,1986-12-08,5,24 HOUR,81102
263,1986-12-10,14,24 HOUR,81102
264,1986-12-12,16,24 HOUR,81102
265,1986-12-14,7,24 HOUR,81102
266,1986-12-16,14,24 HOUR,81102
267,1986-12-18,6,24 HOUR,81102
268,1986-12-20,13,24 HOUR,81102
269,1986-12-22,8,24 HOUR,81102
270,1986-12-24,13,24 HOUR,81102
271,1986-12-26,16,24 HOUR,81102
272,1986-12-28,11,24 HOUR,81102
273,1986-12-30,14,24 HOUR,81102
274,1987-01-01,11,24 HOUR,81102
275,1987-01-03,26,24 HOUR,81102
276,1987-01-05,12,24 HOUR,81102
277,1987-01-07,22,24 HOUR,81102
278,1987-01-13,12,24 HOUR,81102
279,1987-01-17,5,24 HOUR,81102
280,1987-01-29,28,24 HOUR,81102
281,1987-01-31,27,24 HOUR,81102
282,1987-02-02,24,24 HOUR,81102
283,1987-02-04,19,24 HOUR,81102
284,1987-02-06,12,24 HOUR,81102
285,1987-02-08,14,24 HOUR,81102
286,1987-02-10,13,24 HOUR,81102
287,1987-02-12,16,24 HOUR,81102
288,1987-02-14,61,24 HOUR,81102
289,1987-02-16,10,24 HOUR,81102
290,1987-02-18,11,24 HOUR,81102
291,1987-02-20,10,24 HOUR,81102
292,1987-02-22,8,24 HOUR,81102
293,1987-02-24,9,24 HOUR,81102
294,1987-02-26,6,24 HOUR,81102
295,1987-03-02,11,24 HOUR,81102
296,1987-03-06,19,24 HOUR,81102
297,1987-03-08,23,24 HOUR,81102
298,1987-03-12,2,24 HOUR,81102
299,1987-03-14,13,24 HOUR,81102
300,1987-03-16,11,24 HOUR,81102
301,1987-03-18,17,24 HOUR,81102
302,1987-03-20,15,24 HOUR,81102
303,1987-03-22,54,24 HOUR,81102
304,1987-03-24,56,24 HOUR,81102
305,1987-03-26,11,24 HOUR,81102
306,1987-03-28,33,24 HOUR,81102
307,1987-03-30,32,24 HOUR,81102
308,1987-04-05,60,24 HOUR,81102
309,1987-04-09,19,24 HOUR,81102
310,1987-04-13,23,24 HOUR,81102
311,1987-04-17,31,24 HOUR,81102
312,1987-04-21,14,24 HOUR,81102
313,1987-04-25,26,24 HOUR,81102
314,1987-04-29,26,24 HOUR,81102
315,1987-05-01,19,24 HOUR,81102
316,1987-05-03,23,24 HOUR,81102
317,1987-05-05,11,24 HOUR,81102
318,1987-05-07,23,24 HOUR,81102
319,1987-05-09,28,24 HOUR,81102
320,1987-05-11,23,24 HOUR,81102
321,1987-05-13,19,24 HOUR,81102
322,1987-05-15,16,24 HOUR,81102
323,1987-05-17,19,24 HOUR,81102
324,1987-05-19,14,24 HOUR,81102
325,1987-05-21,20,24 HOUR,81102
326,1987-05-23,7,24 HOUR,81102
327,1987-05-25,14,24 HOUR,81102
328,1987-05-27,24,24 HOUR,81102
329,1987-05-29,21,24 HOUR,81102
330,1987-05-31,15,24 HOUR,81102
331,1987-06-02,14,24 HOUR,81102
332,1987-06-04,19,24 HOUR,81102
333,1987-06-06,25,24 HOUR,81102
334,1987-06-08,23,24 HOUR,81102
335,1987-06-10,12,24 HOUR,81102
336,1987-06-12,18,24 HOUR,81102
337,1987-06-14,30,24 HOUR,81102
338,1987-06-16,17,24 HOUR,81102
339,1987-06-18,30,24 HOUR,81102
340,1987-06-20,23,24 HOUR,81102
341,1987-06-22,17,24 HOUR,81102
342,1987-06-24,23,24 HOUR,81102
343,1987-06-26,18,24 HOUR,81102
344,1987-06-28,23,24 HOUR,81102
345,1987-06-30,16,24 HOUR,81102
346,1987-07-02,23,24 HOUR,81102
347,1987-07-04,20,24 HOUR,81102
348,1987-07-06,22,24 HOUR,81102
349,1987-07-08,18,24 HOUR,81102
350,1987-07-10,49,24 HOUR,81102
351,1987-07-14,15,24 HOUR,81102
352,1987-07-16,20,24 HOUR,81102
353,1987-07-18,49,24 HOUR,81102
354,1987-07-20,30,24 HOUR,81102
355,1987-07-22,15,24 HOUR,81102
356,1987-07-26,14,24 HOUR,81102
357,1987-07-30,23,24 HOUR,81102
358,1987-08-01,14,24 HOUR,81102
359,1987-08-03,48,24 HOUR,81102
360,1987-08-05,49,24 HOUR,81102
361,1987-08-07,51,24 HOUR,81102
362,1987-08-09,29,24 HOUR,81102
363,1987-08-11,34,24 HOUR,81102
364,1987-08-13,21,24 HOUR,81102
365,1987-08-15,27,24 HOUR,81102
366,1987-08-17,23,24 HOUR,81102
367,1987-08-19,36,24 HOUR,81102
368,1987-08-21,23,24 HOUR,81102
369,1987-08-23,27,24 HOUR,81102
370,1987-08-25,19,24 HOUR,81102
371,1987-08-27,14,24 HOUR,81102
372,1987-08-29,12,24 HOUR,81102
373,1987-09-02,24,24 HOUR,81102
374,1987-09-04,28,24 HOUR,81102
375,1987-09-06,22,24 HOUR,81102
376,1987-09-10,14,24 HOUR,81102
377,1987-09-12,16,24 HOUR,81102
378,1987-09-14,10,24 HOUR,81102
379,1987-09-16,27,24 HOUR,81102
380,1987-09-18,7,24 HOUR,81102
381,1987-09-20,13,24 HOUR,81102
382,1987-09-22,14,24 HOUR,81102
383,1987-09-24,21,24 HOUR,81102
384,1987-09-26,14,24 HOUR,81102
385,1987-09-28,19,24 HOUR,81102
386,1987-09-30,21,24 HOUR,81102
387,1987-10-04,9,24 HOUR,81102
388,1987-10-06,32,24 HOUR,81102
389,1987-10-08,24,24 HOUR,81102
390,1987-10-10,11,24 HOUR,81102
391,1987-10-12,20,24 HOUR,81102
392,1987-10-14,25,24 HOUR,81102
393,1987-10-16,18,24 HOUR,81102
394,1987-10-18,12,24 HOUR,81102
395,1987-10-22,13,24 HOUR,81102
396,1987-10-24,11,24 HOUR,81102
397,1987-10-26,16,24 HOUR,81102
